date	TitleName
20130209	Modi's tweets following election as chief minister of Gujurat (4th term).
20130210	Modi's tweets following election as chief minister of Gujurat (4th term).
20130211	Modi's tweets following election as chief minister of Gujurat (4th term).
20130212	Modi's tweets following election as chief minister of Gujurat (4th term).
20130213	Modi's tweets following election as chief minister of Gujurat (4th term).
20130214	Modi's tweets following election as chief minister of Gujurat (4th term).
20130215	Modi's tweets following election as chief minister of Gujurat (4th term).
20130216	Modi's tweets following election as chief minister of Gujurat (4th term).
20130217	Modi's tweets following election as chief minister of Gujurat (4th term).
20130220	Modi's tweets following election as chief minister of Gujurat (4th term).
20130221	Modi's tweets following election as chief minister of Gujurat (4th term).
20130222	Modi's tweets following election as chief minister of Gujurat (4th term).
20130223	Modi's tweets following election as chief minister of Gujurat (4th term).
20130224	Modi's tweets following election as chief minister of Gujurat (4th term).
20130225	Modi's tweets following election as chief minister of Gujurat (4th term).
20130226	Modi's tweets following election as chief minister of Gujurat (4th term).
20130227	Modi's tweets following election as chief minister of Gujurat (4th term).
20130228	Modi's tweets following election as chief minister of Gujurat (4th term).
20130301	Modi's tweets following election as chief minister of Gujurat (4th term).
20130302	Modi's tweets following election as chief minister of Gujurat (4th term).
20130303	Modi's tweets following election as chief minister of Gujurat (4th term).
20130305	Modi's tweets following election as chief minister of Gujurat (4th term).
20130306	Modi's tweets following election as chief minister of Gujurat (4th term).
20130307	Modi's tweets following election as chief minister of Gujurat (4th term).
20130308	Modi's tweets following election as chief minister of Gujurat (4th term).
20130309	Modi's tweets following election as chief minister of Gujurat (4th term).
20130310	Modi's tweets following election as chief minister of Gujurat (4th term).
20130311	Modi's tweets following election as chief minister of Gujurat (4th term).
20130312	Modi's tweets following election as chief minister of Gujurat (4th term).
20130313	Modi's tweets following election as chief minister of Gujurat (4th term).
20130314	Modi's tweets following election as chief minister of Gujurat (4th term).
20130315	Modi's tweets following election as chief minister of Gujurat (4th term).
20130316	Modi's tweets following election as chief minister of Gujurat (4th term).
20130317	Modi's tweets following election as chief minister of Gujurat (4th term).
20130318	Modi's tweets following election as chief minister of Gujurat (4th term).
20130319	Modi's tweets following election as chief minister of Gujurat (4th term).
20130320	Modi's tweets following election as chief minister of Gujurat (4th term).
20130321	Modi's tweets following election as chief minister of Gujurat (4th term).
20130323	Modi's tweets following election as chief minister of Gujurat (4th term).
20130325	Modi's tweets following election as chief minister of Gujurat (4th term).
20130326	Modi's tweets following election as chief minister of Gujurat (4th term).
20130327	Modi's tweets following election as chief minister of Gujurat (4th term).
20130328	Modi's tweets following election as chief minister of Gujurat (4th term).
20130329	Modi's tweets following election as chief minister of Gujurat (4th term).
20130330	Modi's tweets following election as chief minister of Gujurat (4th term).
20130401	Modi's tweets following election as chief minister of Gujurat (4th term).
20130403	Modi's tweets following election as chief minister of Gujurat (4th term).
20130404	Modi's tweets following election as chief minister of Gujurat (4th term).
20130405	Modi's tweets following election as chief minister of Gujurat (4th term).
20130406	Modi's tweets following election as chief minister of Gujurat (4th term).
20130407	Modi's tweets following election as chief minister of Gujurat (4th term).
20130408	Modi's tweets following election as chief minister of Gujurat (4th term).
20130409	Modi's tweets following election as chief minister of Gujurat (4th term).
20130410	Modi's tweets following election as chief minister of Gujurat (4th term).
20130411	Modi's tweets following election as chief minister of Gujurat (4th term).
20130413	Modi's tweets following election as chief minister of Gujurat (4th term).
20130414	Modi's tweets following election as chief minister of Gujurat (4th term).
20130415	Modi's tweets following election as chief minister of Gujurat (4th term).
20130419	Modi's tweets following election as chief minister of Gujurat (4th term).
20130421	Modi's tweets following election as chief minister of Gujurat (4th term).
20130422	Modi's tweets following election as chief minister of Gujurat (4th term).
20130424	Modi's tweets following election as chief minister of Gujurat (4th term).
20130425	Modi's tweets following election as chief minister of Gujurat (4th term).
20130426	Modi's tweets following election as chief minister of Gujurat (4th term).
20130427	Modi's tweets following election as chief minister of Gujurat (4th term).
20130428	Modi's tweets following election as chief minister of Gujurat (4th term).
20130430	Modi's tweets following election as chief minister of Gujurat (4th term).
20130501	Modi's tweets following election as chief minister of Gujurat (4th term).
20130502	Modi's tweets following election as chief minister of Gujurat (4th term).
20130504	Modi's tweets following election as chief minister of Gujurat (4th term).
20130505	Modi's tweets following election as chief minister of Gujurat (4th term).
20130507	Modi's tweets following election as chief minister of Gujurat (4th term).
20130510	Modi's tweets following election as chief minister of Gujurat (4th term).
20130511	Modi's tweets following election as chief minister of Gujurat (4th term).
20130512	Modi's tweets following election as chief minister of Gujurat (4th term).
20130513	Modi's tweets following election as chief minister of Gujurat (4th term).
20130514	Modi's tweets following election as chief minister of Gujurat (4th term).
20130515	Modi's tweets following election as chief minister of Gujurat (4th term).
20130516	Modi's tweets following election as chief minister of Gujurat (4th term).
20130517	Modi's tweets following election as chief minister of Gujurat (4th term).
20130518	Modi's tweets following election as chief minister of Gujurat (4th term).
20130519	Modi's tweets following election as chief minister of Gujurat (4th term).
20130520	Modi's tweets following election as chief minister of Gujurat (4th term).
20130521	Modi's tweets following election as chief minister of Gujurat (4th term).
20130522	Modi's tweets following election as chief minister of Gujurat (4th term).
20130523	Modi's tweets following election as chief minister of Gujurat (4th term).
20130524	Modi's tweets following election as chief minister of Gujurat (4th term).
20130525	Modi's tweets following election as chief minister of Gujurat (4th term).
20130526	Modi's tweets following election as chief minister of Gujurat (4th term).
20130527	Modi's tweets following election as chief minister of Gujurat (4th term).
20130528	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130529	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130530	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130531	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130601	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130602	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130603	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130604	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130605	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130606	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130607	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130609	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
20130610	Modi's tweets leading into 2014 general elections while he is in his 4th term as Chief Minister of Gujurat.
